id,name,description,category,price,stock,rating,manufacturer,created_date,tags
PROD001,Wireless Mouse,Ergonomic wireless mouse with USB receiver,Electronics,29.99,150,4.5,TechCorp,2024-01-15,"wireless,computer,accessories"
PROD002,USB-C Cable,High-speed USB-C charging cable 2m,Electronics,12.99,300,4.7,CableMax,2024-01-16,"cable,charging,usb"
PROD003,Desk Lamp,LED desk lamp with adjustable brightness,Home & Office,45.00,80,4.3,LightPro,2024-01-17,"lamp,led,office"
PROD004,Notebook Set,Premium notebook set with 3 notebooks,Stationery,18.50,200,4.6,PaperPlus,2024-01-18,"notebook,writing,stationery"
PROD005,Water Bottle,Stainless steel insulated water bottle 750ml,Sports & Outdoors,24.99,120,4.8,HydroGear,2024-01-19,"bottle,sports,hydration"
PROD006,Bluetooth Speaker,Portable Bluetooth speaker with 12hr battery,Electronics,59.99,95,4.4,SoundWave,2024-01-20,"speaker,bluetooth,audio"
PROD007,Yoga Mat,Non-slip yoga mat with carrying strap,Sports & Outdoors,35.00,110,4.5,FitLife,2024-01-21,"yoga,fitness,mat"
PROD008,Coffee Mug,Ceramic coffee mug 350ml,Home & Kitchen,14.99,250,4.2,MugMasters,2024-01-22,"mug,coffee,kitchen"
PROD009,Phone Stand,Adjustable aluminum phone stand,Electronics,19.99,180,4.6,StandPro,2024-01-23,"phone,stand,accessories"
PROD010,Backpack,Laptop backpack with USB charging port,Bags & Luggage,49.99,75,4.7,BagCraft,2024-01-24,"backpack,laptop,travel"
PROD011,Desk Organizer,Bamboo desk organizer with 5 compartments,Home & Office,32.50,90,4.4,OrganiZen,2024-01-25,"organizer,desk,office"
PROD012,Wireless Earbuds,True wireless earbuds with charging case,Electronics,79.99,65,4.8,AudioTech,2024-01-26,"earbuds,wireless,audio"
PROD013,Plant Pot,Ceramic plant pot with drainage tray,Home & Garden,16.99,140,4.3,GreenThumb,2024-01-27,"pot,plant,garden"
PROD014,Keyboard,Mechanical keyboard with RGB lighting,Electronics,89.99,55,4.9,KeyMaster,2024-01-28,"keyboard,mechanical,gaming"
PROD015,Travel Pillow,Memory foam travel pillow with cover,Travel,22.99,100,4.5,ComfortZone,2024-01-29,"pillow,travel,comfort"
